id_subetapa,fornecedor,material,data_entrega_prevista,data_entrega_real,valor_unitario,quantidade
121,Cimento Nacional,Cimento CP II,2025-07-16,2025-07-21,1336.41,4
121,Areal Delta,Areia média,2025-07-31,2025-08-02,127.43,88
121,CalNorte,Cal hidratada,2025-07-28,2025-07-30,699.2,67
121,Ferramentas Sul,Desempenadeira de aço,2025-07-12,2025-07-11,830.79,72
121,LocaMix,Betoneira 400L,2025-07-02,2025-07-01,1172.99,86
122,Ceusa,Piso cerâmico 45x45,2025-07-28,2025-08-03,88.48,16
122,Quartzolit,Argamassa AC-II,2025-07-12,2025-07-12,638.74,94
122,Obra Reta,Cruzeta niveladora,2025-08-11,2025-08-12,727.21,29
122,NivelarPro,Régua de alumínio,2025-07-21,2025-07-20,1370.37,44
122,PortoKoll,Rejunte cimento branco,2025-07-02,2025-07-02,1017.08,68
123,Eliane,Azulejo branco 30x60,2025-07-10,2025-07-11,1364.02,57
123,Votomassa,Argamassa AC-III,2025-07-21,2025-07-22,173.08,80
123,Construfix,Espaçador plástico,2025-07-10,2025-07-16,936.79,39
123,CortaTudo,Cortador de azulejo,2025-07-27,2025-07-28,193.17,10
123,Quartzolit,Rejunte acrílico,2025-07-17,2025-07-21,391.06,140
124,Suvinil,Massa corrida PVA,2025-08-01,2025-08-04,648.84,112
124,3M,Lixa fina,2025-08-10,2025-08-11,1127.17,87
124,Construfix,Desempenadeira PVC,2025-07-03,2025-07-08,67.81,56
124,Pinta Fácil,Bandeja para pintura,2025-07-05,2025-07-10,775.14,102
124,Ferramentas Sul,Espátula inox,2025-07-16,2025-07-18,1412.05,48
125,Coral,Tinta acrílica branca,2025-08-13,2025-08-14,1105.3,101
125,Atlas,Rolo lã baixa,2025-07-03,2025-07-03,1077.52,20
125,3M,Fita crepe 18mm,2025-08-01,2025-08-01,1360.24,73
125,Pinta Fácil,Bandeja plástica,2025-07-24,2025-07-24,163.65,139
125,PintarTop,Extensor telescópico,2025-08-14,2025-08-16,1204.3,32
126,Suvinil,Tinta acrílica fosca,2025-08-06,2025-08-11,1049.87,64
126,Coral,Selador acrílico,2025-08-01,2025-08-01,1484.32,137
126,AltaAltura,Andorime metálico,2025-08-15,2025-08-18,829.74,42
126,Cobertudo,Lona de proteção,2025-08-12,2025-08-17,216.78,6
126,Atlas,Rolo lã alta,2025-07-30,2025-08-03,860.03,21
127,MetalPlan,Perfis U galvanizado,2025-07-20,2025-07-25,206.37,79
127,FixarTudo,Parafusos autobrocantes,2025-08-08,2025-08-13,1488.54,149
127,Soldabras,Solda MIG,2025-07-17,2025-07-20,1196.32,124
127,Ferramentas Pro,Disco de corte,2025-07-14,2025-07-16,380.77,57
127,SeguraTudo,EPI completo,2025-07-20,2025-07-23,51.94,17
128,Telhas ABC,Telha galvanizada ondulada,2025-08-14,2025-08-18,582.79,95
128,FixParafusos,Fixador para telha,2025-08-04,2025-08-09,1162.83,119
128,TermoProtec,Manta térmica,2025-07-19,2025-07-24,1181.16,64
128,HidroCalhas,Calha galvanizada,2025-08-06,2025-08-08,1218.07,67
128,Cobertura Mais,Pingadeira metálica,2025-07-06,2025-07-11,1328.24,15
129,MetalCorte,Rufos galvanizados,2025-07-13,2025-07-15,1468.4,137
129,Vedatec,Selante PU,2025-07-17,2025-07-22,1136.65,107
129,Ferragens Sul,Cantoneira metálica,2025-07-23,2025-07-26,393.46,16
129,Fixadora,Rebite alumínio,2025-08-10,2025-08-10,961.39,18
129,Construfix,Desempenadeira metálica,2025-07-10,2025-07-14,279.94,3
130,Esquadralum,"Janela alumínio 1,20x1,00",2025-07-13,2025-07-17,629.62,125
130,Madeiras Brasil,Porta de madeira,2025-07-19,2025-07-25,778.0,89
130,Pado,Fechadura,2025-07-31,2025-08-03,199.47,65
130,Ferragens Sul,Dobradiça aço inox,2025-07-20,2025-07-21,69.05,108
130,Vedacit,Espuma expansiva,2025-07-29,2025-07-28,513.67,60
131,LimpaBem,Detergente neutro,2025-08-08,2025-08-12,799.05,100
131,BrilhoFácil,Vassoura piaçava,2025-08-03,2025-08-06,161.99,129
131,MultiLimpo,Pano de algodão,2025-07-05,2025-07-08,800.51,149
131,Higienix,Álcool 70%,2025-08-05,2025-08-04,1497.25,35
131,Limpatec,Saco de lixo 100L,2025-07-28,2025-07-27,1406.77,95
